t,x_r,y_r,z_r,v_x_r,v_y_r,v_z_r,psi_r
4945,0,0,-4.5,0,0,0.022429,0
4971,0,0,-4.5,0,0,0.0216584,0
4984,0,0,-4.5,0,0,0.0211515,0
5011,0,0,-4.5,0,0,0.0207143,0
5023,0,0,-4.5,0,0,0.0200286,0
5051,0,0,-4.5,0,0,0.0197244,0
5072,0,0,-4.5,0,0,0.0188251,0
5093,0,0,-4.5,0.5,0,0,0
5117,0,0,-4.5,0.5,0,0,0
5134,0,0,-4.5,0.5,0,0,0
5163,0,0,-4.5,0.5,0,0,0
5184,0,0,-4.5,0.5,0,0,0
5203,0,0,-4.5,0.5,0,0,0
5222,0,0,-4.5,0.5,0,0,0
5253,0,0,-4.5,0.5,0,0,0
5277,0,0,-4.5,0.5,0,0,0
5300,0,0,-4.5,0.5,0,0,0
5314,0,0,-4.5,0.5,0,0,0
5337,0,0,-4.5,0.5,0,0,0
5357,0,0,-4.5,0.5,0,0,0
5382,0,0,-4.5,0.5,0,0,0
5404,0,0,-4.5,0.5,0,0,0
5429,0,0,-4.5,0.5,0,0,0
5476,0,0,-4.5,0.5,0,0,0
5497,0,0,-4.5,0.5,0,0,0
5518,0,0,-4.5,0.5,0,0,0
5537,0,0,-4.5,0.5,0,0,0
5562,0,0,-4.5,0.5,0,0,0
5582,0,0,-4.5,0.5,0,0,0
5595,0,0,-4.5,0.5,0,0,0
5622,0,0,-4.5,0.5,0,0,0
5642,0,0,-4.5,0.5,0,0,0
5656,0,0,-4.5,0.5,0,0,0
5686,0,0,-4.5,0.5,0,0,0
5706,0,0,-4.5,0.5,0,0,0
5733,0,0,-4.5,0.5,0,0,0
5754,0,0,-4.5,0.5,0,0,0
5778,0,0,-4.5,0.5,0,0,0
5796,0,0,-4.5,0.5,0,0,0
5840,0,0,-4.5,0.5,0,0,0
5859,0,0,-4.5,0.5,0,0,0
5891,0,0,-4.5,0.5,0,0,0
5913,0,0,-4.5,0.5,0,0,0
5926,0,0,-4.5,0.5,0,0,0
5945,0,0,-4.5,0.5,0,0,0
5967,0,0,-4.5,0.5,0,0,0
5989,0,0,-4.5,0.5,0,0,0
6011,0,0,-4.5,0.5,0,0,0
6033,0,0,-4.5,0.5,0,0,0
6049,0,0,-4.5,0.5,0,0,0
6078,0,0,-4.5,0.5,0,0,0
6092,0,0,-4.5,0.5,0,0,0
6114,0,0,-4.5,0.5,0,0,0
6132,0,0,-4.5,0.5,0,0,0
6154,0,0,-4.5,0.5,0,0,0
6184,0,0,-4.5,0.5,0,0,0
6201,0,0,-4.5,0.5,0,0,0
6242,0,0,-4.5,0.5,0,0,0
6270,0,0,-4.5,0.5,0,0,0
6298,0,0,-4.5,0.5,0,0,0
6327,0,0,-4.5,0.5,0,0,0
6349,0,0,-4.5,0.5,0,0,0
6378,0,0,-4.5,0.5,0,0,0
6398,0,0,-4.5,0.5,0,0,0
6412,0,0,-4.5,0.5,0,0,0
6438,0,0,-4.5,0.5,0,0,0
6470,0,0,-4.5,0.5,0,0,0
6492,0,0,-4.5,0.5,0,0,0
6511,0,0,-4.5,0.5,0,0,0
6532,0,0,-4.5,0.5,0,0,0
6559,0,0,-4.5,0.5,0,0,0
6582,0,0,-4.5,0.5,0,0,0
6602,0,0,-4.5,0.5,0,0,0
6626,0,0,-4.5,0.5,0,0,0
6653,0,0,-4.5,0.5,0,0,0
6688,0,0,-4.5,0.5,0,0,0
6715,0,0,-4.5,0.5,0,0,0
6757,0,0,-4.5,0.5,0,0,0
6780,0,0,-4.5,0.5,0,0,0
6812,0,0,-4.5,0.5,0,0,0
6839,0,0,-4.5,0.5,0,0,0
6867,0,0,-4.5,0.5,0,0,0
6898,0,0,-4.5,0.5,0,0,0
6932,0,0,-4.5,0.5,0,0,0
6957,0,0,-4.5,0.5,0,0,0
7005,0,0,-4.5,0.5,0,0,0
7044,0,0,-4.5,0.5,0,0,0
7083,0,0,-4.5,0.5,0,0,0
