Timestamp,Ax,Ay,Az,P,Q,R,Phi,Theta,Psi,PosX,PosY,PosZ
2205,-12.0933,-13.7645,-2.17165,-0.00796704,0.018194,0.0344263,0.00828867,-0.288037,0.00392041,0,0,0
2224,-2.34809,7.37877,-12.1524,0.0585643,0.0160858,-0.0524047,0.00473213,-0.287106,0.00432393,0,0,0
2243,2.978,-2.31758,-3.08243,0.0363748,-0.0785657,-0.0374076,0.00568975,-0.279904,0.00473994,0,0,0
2259,-9.59197,-3.69457,7.5807,0.0366676,0.0398512,0.0690894,0.00787447,-0.285221,0.00513139,0,0,0
2309,-5.85772,9.34782,1.46463,0.0412354,0.0417677,-0.0629191,0.00286011,-0.294771,0.00563964,0,0,0
2414,8.99747,-12.0518,-0.98328,0.0201851,0.0270209,0.00767424,0.00998367,-0.296717,0.00348005,0,0,0
2532,-11.5012,-7.12363,-9.62419,-0.0856251,-0.0104905,0.00137087,0.00796785,-0.303046,0.00660466,-11.5977,-0.111634,-8.85859
2625,4.46364,12.335,5.70766,0.0144088,0.0165756,-0.0734389,-0.0100173,-0.298307,0.0101253,-11.8768,-0.167009,-8.85204
2742,-12.1055,16.0619,2.37807,0.0790928,0.0608482,0.0680939,-0.00340123,-0.269263,0.0122342,-11.9468,-0.141066,-8.48679
2850,-13.0345,-17.1154,-18.6753,0.0308114,0.0591233,0.00988361,0.0146538,-0.268157,0.0109154,0,0,0
2953,1.41911,2.80099,-27.6157,-0.00597062,-0.0418689,-0.0127691,0.0114701,-0.27638,0.0091875,0,0,0
3054,-2.39326,-15.6944,-15.6741,0.0563549,-0.0126094,-0.0575954,0.0062859,-0.25117,0.0130084,0,0,0
3139,-19.0869,13.0418,-24.34,0.023422,0.00879223,0.0843421,-0.0151703,-0.265381,0.0192281,0,0,0
3223,7.52647,-8.40785,-7.21958,-0.0365664,0.00841424,0.0370456,-0.0030149,-0.255226,0.0185907,0,0,0
3307,-2.01117,15.5736,7.69479,-0.0553115,-0.0432691,-0.0518084,-0.0162458,-0.255655,0.0222102,-11.9981,-0.128251,-8.22665
3411,-0.0982696,0.305795,2.17635,-0.0113264,-0.0864343,-0.0280004,-0.0238706,-0.240112,0.0182411,-12.2171,-0.153088,-8.04173
3508,14.7777,10.455,-28.3723,-0.0145366,0.0760795,-0.0754034,-0.00332697,-0.229301,0.0121195,0,0,0
3601,-4.73098,-7.84021,-25.1051,-0.0526549,-0.0791567,0.0473045,0.00849195,-0.226704,0.00809966,0,0,0
3709,9.88861,10.2426,-19.7057,0.0715064,0.0509353,-0.0523993,-0.0116583,-0.211281,0.0111785,0,0,0
3806,10.2475,-11.2107,-23.739,-0.0771869,0.0297626,-0.0815204,0.000809752,-0.191415,0.00590629,-12.6941,-0.143527,-7.43164
3899,-10.8249,13.8462,5.07239,0.0676307,0.0601455,0.0190618,-0.0247444,-0.211874,0.00789413,0,0,0
