t,x,z,z,v_x,v_y,v_z,phi,theta,psi,p,q,r,phi_r,theta_r,psi_r,force_0,force_1,force_2
2124,0,0,-3.3369,0,0,-1.57769,0,0,0,0,0,0,0,-0,0,0,0,-7.73605
2143,0,0,-3.36687,0,0,-1.53907,0,0,0,0,0,0,0,-0,0,0,0,-7.76739
2159,0,0,-3.38996,0,0,-1.50926,0,0,0,0,0,0,0,-0,0,0,0,-7.81263
2174,0,0,-3.41109,0,0,-1.48193,0,0,0,0,0,0,0,-0,0,0,0,-7.8477
2190,0,0,-3.43332,0,0,-1.45313,0,0,0,0,0,0,0,-0,0,0,0,-7.87998
2206,0,0,-3.45657,0,0,-1.42295,0,0,0,0,0,0,0,-0,0,0,0,-7.91409
2220,0,0,-3.47507,0,0,-1.3989,0,0,0,0,0,0,0,-0,0,0,0,-7.94995
2238,0,0,-3.50025,0,0,-1.36612,0,0,0,0,0,0,0,-0,0,0,0,-7.97864
2255,0,0,-3.52211,0,0,-1.3376,0,0,0,0,0,0,0,-0,0,0,0,-8.01784
2268,0,0,-3.53949,0,0,-1.31488,0,0,0,0,0,0,0,-0,0,0,0,-8.05207
2284,0,0,-3.56053,0,0,-1.28735,0,0,0,0,0,0,0,-0,0,0,0,-8.07943
2303,0,0,-3.58499,0,0,-1.25529,0,0,0,0,0,0,0,-0,0,0,0,-8.11267
2327,0,0,-3.61512,0,0,-1.21573,0,0,0,0,0,0,0,-0,0,0,0,-8.1515
2341,0,0,-3.63214,0,0,-1.19332,0,0,0,0,0,0,0,-0,0,0,0,-8.19959
2364,0,0,-3.65959,0,0,-1.15714,0,0,0,0,0,0,0,-0,0,0,0,-8.22695
2387,0,0,-3.6862,0,0,-1.12198,0,0,0,0,0,0,0,-0,0,0,0,-8.27124
2400,0,0,-3.70079,0,0,-1.10267,0,0,0,0,0,0,0,-0,0,0,0,-8.31446
2428,0,0,-3.73166,0,0,-1.06174,0,0,0,0,0,0,0,-0,0,0,0,-8.3383
2451,0,0,-3.75608,0,0,-1.02929,0,0,0,0,0,0,0,-0,0,0,0,-8.38892
2467,0,0,-3.77152,0,0,-1.00873,0,0,0,0,0,0,0,-0,0,0,0,-8.42925
2486,0,0,-3.78968,0,0,-0.984514,0,0,0,0,0,0,0,-0,0,0,0,-8.4549
2513,0,0,-3.81527,0,0,-0.950328,0,0,0,0,0,0,0,-0,0,0,0,-8.48517
2526,0,0,-3.82668,0,0,-0.935064,0,0,0,0,0,0,0,-0,0,0,0,-8.52803
2550,0,0,-3.84912,0,0,-0.904998,0,0,0,0,0,0,0,-0,0,0,0,-8.54724
2569,0,0,-3.86541,0,0,-0.883131,0,0,0,0,0,0,0,-0,0,0,0,-8.58514
2586,0,0,-3.88042,0,0,-0.862948,0,0,0,0,0,0,0,-0,0,0,0,-8.61281
2604,0,0,-3.89509,0,0,-0.843201,0,0,0,0,0,0,0,-0,0,0,0,-8.63841
2631,0,0,-3.91702,0,0,-0.813653,0,0,0,0,0,0,0,-0,0,0,0,-8.66351
2648,0,0,-3.93085,0,0,-0.794973,0,0,0,0,0,0,0,-0,0,0,0,-8.70117
